Date,Price,Daily_Return,Golden_Cross,EMA_crossover,RSI_14,MACD_Hist,ROC_5,BB_Width,BB_Pct,ATR_Pct,HV_20,Vol_Ratio
2016-03-18,33080.4,0.3721431226342941,0,1,66.25595546143913,90.94266668708565,1.2588018792035083,0.11328492237701641,0.7689069420439522,0.872057695772209,11.639906956401683,1.2026661358782487
2016-03-21,33022.87,-0.1739096262439399,0,1,64.75375221703497,76.21686589230069,0.8684254896977883,0.10750650457659293,0.7318679457451415,0.8235307352952637,10.582764339178635,0.5909243188916387
2016-03-22,32928.3,-0.2863772894360794,0,1,62.255008198961136,54.39090964439134,0.9357809301530073,0.09719268665670541,0.6878426500362718,0.8465697274878635,10.509996184039666,0.780073266549897
2016-03-24,32801.88,-0.3839250735689581,0,1,58.97859739888813,27.10230572571311,-0.2711981485557957,0.08643884265455905,0.6295335257822194,0.8026802639549949,10.75214425096215,0.5319124918158625
2016-03-25,32876.55,0.2276393914007579,0,1,60.30736500923878,10.591656165879726,-0.2463760420538308,0.07264219870729806,0.6413634200195716,0.74621471749329,10.712666265083959,0.7126025931448997
2016-03-28,32904.32,0.0844675003916162,0,1,60.81571736425351,-1.3152538329492813,-0.53227893254012,0.06339537683798885,0.6360807195750915,0.7475382181129041,9.647519701030003,0.5806414264212111
2016-03-29,32879.67,-0.0749141754031179,0,1,60.08016808271985,-13.054773374609567,-0.4336388690625803,0.052203954874382556,0.6061965679320962,0.7076998798613614,9.716746470775888,0.7829392136950529
2016-03-30,32922.4,0.1299587252548528,0,1,60.961599665312086,-19.744182150333472,-0.017917718193771748,0.03956442867730216,0.6182744248449941,0.6671854636264981,9.691105464150366,0.8289361506025484
2016-03-31,33139.0,0.6579107233980475,0,1,65.16090118441537,-11.776631280194124,1.0277459706577785,0.02859847162032312,0.8211979675240986,0.6862518627600124,9.561211638093468,1.321041714680802
2016-04-01,33449.62,0.937324602432188,0,1,70.12410016386544,10.986923838107032,1.743096523205745,0.025865110741559064,1.1428754515088235,0.7269681115262361,9.279612259211694,1.3618973014088984
2016-04-04,33808.42,1.0726579255608826,0,1,74.62156093002025,44.88071821951303,2.7476635286795226,0.03263658416176667,1.278370804366171,0.8033353665047807,9.450316342441253,1.786007060958148
2016-04-05,33766.49,-0.124022358927156,0,1,73.23411227066914,58.29801757723959,2.6971681893400934,0.03909700518961644,1.0877077040295353,0.7908106392489902,7.466167479525597,2.2240651780451803
2016-04-06,33946.37,0.5327174959553149,0,1,75.35143442929291,72.20021258324891,3.1102532014676942,0.04658700364196514,1.079690371418794,0.7862788550434717,7.604655956609885,1.9162544728768829
2016-04-07,33896.03,-0.1482927335087813,0,1,73.59682923616478,70.82089329992107,2.284408099218438,0.05165893175769934,0.9651661450476701,0.7561142473504338,7.559884749161097,1.0663349317861548
2016-04-08,33967.54,0.21096865916157,0,1,74.50502753420014,67.55049030297857,1.5483583968965764,0.05529011599325123,0.9385161192484879,0.6997435900098181,6.7826050912157765,1.075924908983668
2016-04-11,33566.22,-1.1814809079491728,0,1,61.6819711494745,32.93736538553412,-0.7163895857895675,0.054362661074692294,0.6982478865626113,0.8547430303128684,8.311979774352281,1.1477532633124792
2016-04-12,33616.9,0.150985127309533,0,1,62.5583491113838,9.264219908728762,-0.4430131766730794,0.053639427661897894,0.7044472531550741,0.8426483976538162,8.307316882851799,0.8190396412821208
2016-04-13,33646.1,0.0868610728532282,0,1,63.08225631110898,-7.702891443331339,-0.8845422942129089,0.051437293145949095,0.7000567393521574,0.8539829776173201,8.110412294001886,1.0662918762212112
2016-04-14,33767.59,0.3610819678952381,0,1,65.26030574788365,-13.670057868101196,-0.37892343144610985,0.05142169677484108,0.7451458981065394,0.8200477768213695,7.7689257817762245,1.1805306474596973
2016-04-15,33767.12,-0.0013918671720292,0,1,65.24426897563544,-20.18190864468636,-0.59003389706761,0.051299569899432386,0.721529796311063,0.7820733747414673,7.777918868834728,0.8812774551636291
2016-04-18,33759.97,-0.0211744442522809,0,1,64.98265665875203,-27.07409838478901,0.5772172142112009,0.05140219882736429,0.6969222309843094,0.7569373855448738,7.735187623258577,0.9247764488701572
2016-04-19,33729.62,-0.0898993689864013,0,1,63.81298963444895,-35.2622396976825,0.33530753876771513,0.05069040506714357,0.660744500040661,0.7395288069503968,7.701104298200874,0.9941827198168988
2016-04-20,33619.84,-0.3254706101047278,0,1,59.631871505431455,-48.8220897117065,-0.07804767863140993,0.048541862461842854,0.5788915822301464,0.7056157580114877,7.728831053633421,1.0473206770784624
2016-04-21,33572.13,-0.1419102529934712,0,1,57.85762157786942,-60.96555511667998,-0.5788390583988945,0.04446615754821178,0.5281933488714771,0.7797319890351989,7.571780754520666,1.480018772524816
2016-04-22,33739.54,0.4986576663440933,0,1,62.11692204090951,-57.7172688933382,-0.08167708705983934,0.04071867021401456,0.6216448136913696,0.7815882653085529,7.684277416821591,0.8096405335850079
2016-04-25,33684.56,-0.162954207437338,0,1,59.97312371630499,-59.052872394120925,-0.22337105157381743,0.03615506769243737,0.5594966444540433,0.7920811414919487,7.753472008322272,0.6453509484860537
2016-04-26,33847.74,0.4844355989806592,0,1,63.94986857547863,-49.13449964697088,0.35019665208204653,0.03018183047649776,0.6841446724450683,0.8181220992615805,7.822894450332376,1.1809957974214689
2016-04-27,34269.28,1.2454007269022904,0,1,71.75632275813133,-16.08237101459548,1.9317165102511025,0.02666284363630992,1.1018962874551188,0.879120879016198,8.730094164299958,1.109587699539712
2016-04-28,34503.64,0.6838778054280681,0,1,74.99787659377068,17.82816509562872,2.7746526657677073,0.02876045308511074,1.2277855918835419,0.8771768509816728,8.748396214176951,1.2249589095044626
2016-04-29,34719.29,0.625006521051108,0,1,77.55104142677699,49.26442556090916,2.9038629453750797,0.03608934556107066,1.203427170974321,0.9178976599154115,8.469580907019132,1.4162694442809785
2016-05-02,34567.52,-0.437134515135551,0,1,71.9800170398107,53.94174763615939,2.621260304424333,0.04054178144599062,0.987418390132905,0.9211572319603675,8.069414383671148,0.956581436748118
2016-05-03,34897.3,0.9540169500155128,0,1,76.01236435477148,72.21034444046364,3.100827411224527,0.04804975368139183,1.0780507611304124,0.9622283548319425,8.540628299028137,1.0735694822888284
2016-05-04,35317.56,1.2042765486155016,0,1,79.96858206672249,103.64965914688639,3.0589495898367236,0.05986017836523728,1.135755453036712,1.0290315079750654,9.219644670524934,1.5985275527976908
2016-05-05,35941.47,1.766571643114645,0,1,84.14837755465024,154.45625254434174,4.167183520347417,0.07785275747244294,1.1837067391002445,1.1154124865091275,10.630720822256023,1.372255289150932
2016-05-06,35973.68,0.089617926033636,0,1,84.33016389903649,176.62556671522475,3.6129483062585566,0.09121343248331161,1.060035811386079,1.1034036319135032,10.651830547300131,1.673642091707676
2016-05-09,36234.99,0.7263921845082288,0,1,85.75719385052814,193.90149836770956,4.823805699685724,0.10282186150634573,1.0310743426171403,1.0708827004852197,9.203002774935861,1.1260100293310626
2016-05-10,36265.12,0.0831516719060898,0,1,85.91645447764327,192.00941151549762,3.919558246626531,0.1114716534122243,0.9613818548734253,1.0382216875100432,9.228729377152606,0.9306155296326792
2016-05-11,36266.23,0.0030607922985037,0,1,85.92269959734367,175.91275143774442,2.686114216270896,0.11748458161196215,0.9041769795597647,0.9661808301074307,9.268621599337413,1.2306122448979593
2016-05-12,36048.76,-0.5996487641533266,0,1,78.57155179651332,137.40654786899483,0.29851311034301276,0.12017108612657013,0.814422431372169,1.0021067218982853,9.896241057649087,0.7978968797369635
2016-05-13,36122.49,0.204528533020265,0,1,79.22064761580971,105.14356179127299,0.413663545125198,0.12178815760601544,0.7988246426943856,0.9280518614253431,9.832477654162505,0.8401397693008269
2016-05-16,36125.37,0.0079728723020089,0,1,79.24709178899631,73.72385760079555,-0.30252526632406074,0.12177146043052539,0.770759332193262,0.8600051673558653,9.81892376929849,0.5796995690929059
2016-05-17,36137.12,0.0325256184227296,0,1,79.36248637143223,44.877810066217194,-0.35295622901564405,0.12000152656038288,0.748015913117428,0.8522392180014245,9.75746639478865,1.1559532701262594
2016-05-18,36318.21,0.5011190709165447,0,1,81.10617019729213,29.861635725020165,0.14332893162591898,0.11657781054017752,0.7655648090377477,0.8190255367121271,9.439725051049535,0.9526443236650748
2016-05-19,36685.05,1.01007180695305,0,1,84.04671264725401,36.087000990221554,1.7650815173670287,0.11282983682644376,0.8260798553892147,0.8812164422832706,9.466772326377153,1.8715156318320945
2016-05-20,36693.5,0.0230339061824791,0,1,84.10806749375159,32.3459457190537,1.5807603517919322,0.10805965165539183,0.8027914254909664,0.8366006698693952,9.57993379042911,1.1545748874809698
2016-05-23,36723.35,0.0813495578235956,0,1,84.33722792146244,23.846218488952445,1.6552910046319091,0.09978951139257651,0.7922020534030703,0.8399042876681713,9.420713151286948,1.0877139827298894
2016-05-24,36582.35,-0.383951899813062,0,1,78.57356182101971,1.851819393535152,1.2320572309027389,0.08920366849032847,0.7387100085768149,0.818302247929227,9.851833329600769,1.0804715923428532
2016-05-25,36499.43,-0.2266666848903864,0,1,75.31385002092807,-23.745486603667928,0.49897833621206367,0.08049520216275677,0.6964913259855248,0.8145633143931994,9.544284972613475,0.7672645768709581
2016-05-26,36540.97,0.1138099964848704,0,1,75.8542743692986,-42.262304563153975,-0.39274854470691123,0.07230412956342905,0.6949777005861545,0.78584350071607,9.467751387669392,0.7104221958089779
2016-05-27,36694.26,0.4195017264183143,0,1,77.78679764221569,-48.14257932490921,0.0020712115224919003,0.06513369834292893,0.7390265248591605,0.7670214890951907,9.399023619462275,0.6801243273954748
2016-05-30,36234.69,-1.252430216606082,0,1,61.813624157701774,-84.79582667192017,-1.3306520238485775,0.050689729704927765,0.5106742080564465,0.8610178391734533,10.604206203354401,0.7255426303269036
2016-05-31,36061.56,-0.4778017971176385,0,1,57.06002441889981,-120.34235480591792,-1.4236100195859525,0.037702435123311506,0.3451672768176562,0.9223326044500185,10.540639229048534,0.9070966142963839
2016-06-01,36496.16,1.2051613962346774,0,1,64.45052240257581,-114.27361163401201,-0.00895904401794212,0.028661961743725678,0.6574124874646113,0.9629977203433612,10.541776060651038,0.8732053728336867
