Date,Price,Open,High,Low,Vol.,Change %
10/16/2020,"40,164.02","40,068.50","40,220.73","39,742.25",,0.24%
10/15/2020,"40,068.49","40,144.29","40,533.67","40,006.46",,-0.19%
10/14/2020,"40,144.29","40,006.68","40,183.87","39,845.77",,0.34%
10/13/2020,"40,006.67","40,209.82","40,301.36","39,645.73",,-0.51%
10/12/2020,"40,209.82","40,798.43","41,047.46","40,149.78",,-1.44%
10/9/2020,"40,798.43","40,353.62","40,830.22","40,307.64",,1.10%
10/8/2020,"40,353.62","39,849.96","40,412.06","39,849.96",,1.26%
10/7/2020,"39,849.96","39,127.48","39,920.13","39,127.48",,1.85%
10/6/2020,"39,127.48","39,072.47","39,349.29","38,568.95",,0.14%
10/5/2020,"39,072.47","40,070.83","40,070.83","38,865.10",,-2.49%
10/2/2020,"40,070.83","40,676.92","40,838.92","39,905.66",,-1.49%
10/1/2020,"40,676.92","40,571.48","40,735.84","40,113.95",,0.26%
9/30/2020,"40,571.48","41,204.36","41,438.33","40,494.90",,-1.54%
9/29/2020,"41,204.36","40,740.95","41,445.47","40,389.80",,1.14%
9/28/2020,"40,740.95","41,701.23","41,785.07","40,644.82",,-2.30%
9/25/2020,"41,701.23","41,806.37","42,100.73","41,601.94",,-0.25%
9/24/2020,"41,806.37","41,876.26","41,942.35","41,416.90",,-0.17%
9/23/2020,"41,876.26","41,828.91","42,023.06","41,755.69",,0.11%
9/22/2020,"41,828.91","42,174.14","42,174.14","41,672.45",,-0.82%
9/21/2020,"42,174.13","42,504.76","42,551.15","42,121.32",,-0.78%
9/18/2020,"42,504.76","42,334.76","42,554.84","42,234.59",,0.40%
9/17/2020,"42,334.76","42,282.28","42,632.41","42,276.59",,0.12%
9/16/2020,"42,282.28","42,346.42","42,544.87","42,091.97",,-0.15%
9/15/2020,"42,346.42","42,531.31","42,831.01","42,263.22",,-0.43%
9/14/2020,"42,531.31","42,530.67","42,720.98","42,367.81",,0.00%
9/11/2020,"42,530.67","42,647.35","42,869.69","42,457.53",,-0.27%
9/10/2020,"42,647.35","42,022.25","42,896.36","42,022.25",,1.49%
9/9/2020,"42,022.25","41,985.19","42,196.17","41,610.73",,0.09%
9/8/2020,"41,985.19","42,295.75","42,528.49","41,912.60",,-0.73%
9/7/2020,"42,295.75","42,023.00","42,400.25","42,023.00",,0.65%
9/4/2020,"42,023.00","42,188.11","42,291.92","41,923.68",,-0.39%
9/3/2020,"42,188.11","41,834.85","42,212.93","41,834.85",,0.84%
9/2/2020,"41,834.85","41,377.26","41,932.85","41,377.26",,1.11%
9/1/2020,"41,377.26","41,110.93","41,401.89","41,096.58",,0.65%
8/31/2020,"41,110.93","41,056.22","41,311.06","41,016.56",,0.13%
8/28/2020,"41,056.22","41,081.94","41,164.83","40,994.04",,-0.06%
8/27/2020,"41,081.94","40,862.59","41,276.54","40,862.59",,0.54%
