Date,Price,Open,High,Low,Vol.,Change %,Daily_Return,Volatility_30d
2024-10-17,85585.43,86439.57,86520.29,85539.2,219880000.0,-0.72,-0.7194771201798233,0.6572250668915537
2024-10-18,85250.09,85638.58,85773.83,85120.9,152920000.0,-0.39,-0.3918190280752132,0.666972775637609
2024-10-21,86057.52,85353.34,86172.79,85349.33,240440000.0,0.95,0.9471309649057291,0.6770912448763426
2024-10-22,86466.58,86294.7,86846.04,86294.7,415550000.0,0.48,0.4753332422314793,0.6664968509011278
2024-10-23,87194.54,86667.99,87309.23,86284.25,424370000.0,0.84,0.8418975285017449,0.6661530921527299
2024-10-24,88945.99,87553.63,89126.16,87382.05,458050000.0,2.01,2.0086693501680353,0.6998490887952814
2024-10-25,89993.97,89373.82,90593.61,89373.82,365940000.0,1.18,1.1782206257977323,0.7136476047624241
2024-10-28,90195.52,90633.65,91054.84,89732.73,267240000.0,0.22,0.2239594497275732,0.7146838057094677
2024-10-29,90864.09,90509.48,91358.15,90449.42,256870000.0,0.74,0.7412452414487847,0.7154704442964945
2024-10-30,90286.57,91375.53,91872.63,90003.31,240630000.0,-0.64,-0.6355866217336081,0.7266360260298116
2024-10-31,88966.77,90459.17,90700.23,89063.34,287740000.0,-1.46,-1.4617899428453263,0.782574707021385
2024-11-01,90859.85,89292.74,91133.28,88852.68,230030000.0,2.13,2.127850657048702,0.8476920085969523
2024-11-04,91938.01,91454.3,92159.08,91395.35,311380000.0,1.19,1.1866187320362043,0.8529918968841159
2024-11-05,92304.32,92510.48,92514.3,91536.09,289410000.0,0.4,0.3984315083609191,0.8381228056063149
2024-11-06,92021.44,92509.76,92966.95,91891.47,376320000.0,-0.31,-0.3064645295041468,0.8423814608142038
2024-11-07,92520.49,92259.48,92694.54,92185.69,322630000.0,0.54,0.5423192682053157,0.81689202625795
2024-11-08,93291.68,92623.84,93514.56,92566.49,362830000.0,0.83,0.8335342798119427,0.8033100001829937
2024-11-11,93648.33,93485.41,94020.03,93318.91,468860000.0,0.38,0.3822956130707489,0.7931450113464436
2024-11-12,93224.56,93799.93,93871.62,92893.11,408480000.0,-0.45,-0.4525120736269428,0.8078636062978505
2024-11-13,93355.43,93362.53,93803.59,92943.08,295670000.0,0.14,0.14038146170922694,0.8085317995435524
2024-11-14,94191.89,93672.72,94289.97,93672.72,255610000.0,0.9,0.8959950160370989,0.8080331106361689
2024-11-15,94763.64,94431.19,95278.27,94431.19,283270000.0,0.61,0.6070055500531968,0.8022513770694994
2024-11-18,94995.67,95060.85,95307.92,94620.45,277310000.0,0.24,0.2448512952858195,0.7685418624179614
2024-11-19,95856.67,95241.64,96036.49,95212.63,377890000.0,0.91,0.9063571002762449,0.7689780899371771
2024-11-20,95546.46,96055.66,96711.33,95311.97,565380000.0,-0.32,-0.32361858595754134,0.7767989116460344
2024-11-21,97328.4,95674.5,97437.15,95300.21,323530000.0,1.86,1.864998452061939,0.8138669185917073
2024-11-22,97798.23,97835.39,99623.04,97471.12,515070000.00000006,0.48,0.4827265217552057,0.8103276114408138
2024-11-25,98079.78,97851.82,99317.48,97137.64,281100000.0,0.29,0.2878886458374641,0.7998241666621625
2024-11-26,94574.16,98049.38,99819.59,94180.6,517940000.00000006,-3.57,-3.5742535311559576,1.0870701964701461
2024-11-27,99269.25,97425.06,99549.81,97188.28,495790000.0,4.96,4.96445329252726,1.3778914790526724
