Date,Price,Open,High,Low,Vol.,Change %,Log_Return,SPY_Log_Return,EEM_Log_Return,VIX_Level,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window
5/13/2025,118575.89,"120,067.12","120,067.12","116,859.93",366.25M,1.09%,0.010837774,0.032513179,0.021368818,18.38999939,-3.510000229,1,0,0,1
5/14/2025,118536.53,"118,950.61","119,460.54","118,148.65",273.52M,-0.03%,-0.000331994,0.006582197,0.001742053,18.21999931,-0.170000076,1,0,0,0
5/15/2025,119961.91,"118,871.13","119,990.30","118,871.13",310.69M,1.20%,0.011953093,0.001277225,0.007586549,18.62000084,0.400001526,1,0,0,0
5/16/2025,119649.14,"120,292.95","120,506.18","119,541.15",235.07M,-0.26%,-0.002610649,0.004872456,-0.000431939,17.82999992,-0.790000916,1,0,0,0
5/19/2025,119689.63,"120,164.33","120,285.55","119,250.68",119.53M,0.03%,0.000338349,0.006313952,-0.000648385,17.23999977,-0.590000153,3,1,0,0
5/20/2025,118971.13,"119,891.17","119,900.38","118,527.09",108.11M,-0.60%,-0.006021117,0.001093346,0.002159397,18.13999939,0.899999619,1,0,0,0
5/21/2025,119931.46,"119,239.34","120,106.21","119,128.39",280.86M,0.81%,0.008039554,-0.003367847,-0.001079073,18.09000015,-0.049999237,1,0,0,0
5/22/2025,119153.04,"120,234.81","120,699.18","119,062.03",223.28M,-0.65%,-0.006511696,-0.016994391,-0.002594605,20.87000084,2.780000687,1,0,0,0
5/23/2025,119102.67,"119,214.78","119,542.52","118,665.26",99.80M,-0.04%,-0.000422823,0.000394656,-0.003252751,20.28000069,-0.590000153,1,0,0,0
5/26/2025,118221.12,"119,211.88","119,290.94","118,150.28",350.58M,-0.74%,-0.007429125,-0.006849282,0.004118396,22.29000092,2.010000229,3,1,0,0
5/27/2025,118332.91,"118,533.70","118,807.92","118,143.68",414.61M,0.09%,0.000945154,-0.006849282,0.004118396,22.29000092,2.010000229,1,0,0,0
5/29/2025,118971.41,"118,512.41","119,639.47","118,481.98",315.84M,0.54%,0.005381289,0.020577532,-0.002382307,18.95999908,-3.330001831,2,1,0,0
5/30/2025,119691.09,"119,138.77","119,913.88","118,771.84",211.93M,0.60%,0.006030962,0.003939546,0.003696127,19.18000031,-0.129999161,1,0,0,0
6/2/2025,118877.81,"120,211.57","120,590.77","118,672.84",164.32M,-0.68%,-0.006818015,-0.001119062,-0.012227239,18.56999969,-0.61000061,3,1,0,0
6/3/2025,120450.87,"119,129.52","120,693.83","119,129.52",315.24M,1.32%,0.013145793,0.00561711,0.007223348,18.36000061,-0.209999084,1,0,0,0
6/4/2025,121798.87,"120,954.38","121,882.48","120,896.13",292.41M,1.12%,0.011129126,0.005686338,0.002396234,17.69000053,-0.670000076,1,0,0,0
6/5/2025,121641,"122,106.82","122,281.58","121,517.90",407.56M,-0.13%,-0.001296994,-0.000268368,0.012325855,17.61000061,-0.079999924,1,0,0,0
6/10/2025,122024.44,"122,152.23","122,611.53","121,589.90",235.30M,0.32%,0.003147269,-0.004844546,0.005144723,18.47999954,0.869998932,5,1,0,0
6/11/2025,124352.68,"123,290.25","124,588.17","123,237.99",332.59M,1.91%,0.01890037,0.005653713,0.005689635,16.95000076,-0.209999084,1,0,0,0
6/12/2025,124093.12,"124,807.10","126,718.28","123,846.56",371.98M,-0.21%,-0.002089471,-0.002856082,0.004193826,17.26000023,0.309999466,1,0,0,0
6/13/2025,122143.57,"122,679.01","123,058.06","121,604.60",238.19M,-1.57%,-0.015835095,0.003966378,0.001672487,18.02000046,0.760000229,1,0,0,0
6/16/2025,122225.36,"122,168.26","122,903.34","121,889.96",181.44M,0.07%,0.000669398,-0.011243175,-0.016003627,20.81999969,2.799999237,3,1,0,0
6/17/2025,121971.04,"122,367.28","122,891.61","121,815.39",203.25M,-0.21%,-0.002082914,0.009469399,0.012184814,19.11000061,-1.709999084,1,0,0,0
6/18/2025,120465.93,"121,857.97","121,905.50","120,418.00",122.21M,-1.23%,-0.012416665,-0.008581871,-0.013214157,21.60000038,2.489999771,1,0,0,0
6/19/2025,120002.59,"121,103.35","121,745.30","119,770.03",134.10M,-0.38%,-0.003853648,-0.000150649,-0.000214615,20.13999939,-1.460000992,1,0,0,0
6/20/2025,120023.24,"120,234.96","120,828.86","119,872.16",136.80M,0.02%,0.000172065,-0.000150649,-0.000214615,20.13999939,-1.460000992,1,0,0,0
6/23/2025,116167.47,"118,272.00","118,798.52","115,887.49",196.19M,-3.21%,-0.032652534,-0.002351291,-0.005810735,20.62000084,0.48000145,3,1,0,0
6/24/2025,122246.64,"120,499.53","122,725.21","120,369.54",318.30M,5.23%,0.051007786,0.009828971,0.008168468,19.82999992,-0.790000916,1,0,0,0
6/25/2025,122761.64,"122,753.01","123,256.55","122,168.76",221.15M,0.42%,0.004203946,0.010986618,0.025574678,17.47999954,-2.350000381,1,0,0,0
