Date,Log_Return,SPY_Log_Return,EEM_Log_Return,VEA_Close_Log_Return,VIX_Change,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,USDPKR_Log_Return,annual_gdp_growth,EMA_crossover,RSI_OB,RSI_OS,MACD_Hist,True_Range,kibor_rate_change_5,kibor_rate_change_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,days_since_high_63,drawdown_252,target_next_log_return
2025-04-09,-0.012010214,-0.015786674,-0.014177303,0.07204042635583136,5.350002289,0,0,0,0.0010697747991577076,2.7,1.0,0.0,0.0,-391.85287525176204,2640.939999999988,0.0,0.29999999999999893,0.005421136235135959,-0.03268049288982067,-0.001231312654959793,0.00029242867020262686,0.006745043803284556,4.0,-0.04023058715158667,0.017678927497409354
2025-04-10,0.017678927,0.099862836,0.067017854,-0.019969808359877786,-18.7100029,0,0,0,-0.0003564644572687583,2.7,1.0,0.0,0.0,-358.20055450290886,3331.0099999999948,-0.009999999999999787,0.29999999999999893,-0.011938379552823286,0.005421136235135959,-0.03268049288982067,0.009603524416045728,-0.002758193435922429,5.0,-0.023112020192686766,-0.011564059908238842
2025-04-11,-0.01156406,-0.044808225,-0.017387415,0.02707857130692379,7.100002289,0,0,0,-0.0003565915694902974,2.7,1.0,0.0,0.0,-411.63281677622524,1549.2900000000081,-0.02999999999999936,0.3100000000000005,0.017836124729267322,-0.011938379552823286,0.005421136235135959,-0.001231312654959793,-0.016907490220122612,6.0,-0.03434374398584272,0.01329104157073899
2025-04-14,0.013291042,0.017685504,0.030891466,0.01147008647840908,-3.159999847,1,0,0,-0.005495065296094786,2.7,1.0,0.0,0.0,-332.5868237379352,1640.8699999999953,-0.019999999999999574,0.08999999999999986,-0.011497453162819582,0.017836124729267322,-0.011938379552823286,-0.03268049288982067,0.001662234899083348,7.0,-0.021423494958848877,0.0033063234914283363
2025-04-15,0.003306323,0.009654777,0.009060624,0.00677969007961424,-6.670001984,0,0,0,0.004781609371161864,2.7,1.0,0.0,0.0,-247.36180119641563,972.1900000000023,-0.02999999999999936,0.0600000000000005,0.01337976008183639,-0.011497453162819582,0.017836124729267322,0.005421136235135959,0.009766861348276867,8.0,-0.018182649783151983,-0.006489749967527692
2025-04-16,-0.00648975,-0.002804762,-0.000949927,-0.002188414514833744,-0.76999855,0,0,0,-0.0027959037609031827,2.7,1.0,0.0,0.0,-234.97411336454263,1647.9199999999983,-0.03999999999999915,0.0600000000000005,0.003311795407923368,0.01337976008183639,-0.011497453162819582,-0.011938379552823286,0.00029242867020262686,9.0,-0.02453376802439522,0.00756499666296306
2025-04-17,0.007564997,-0.02247884,-0.011709992,0.010697426109247008,2.51999855,0,0,0,-0.0019687432393084613,2.7,1.0,0.0,0.0,-163.92142211827354,1397.9599999999919,-0.019999999999999574,0.08000000000000007,-0.0064687370210361195,0.003311795407923368,0.01337976008183639,0.017836124729267322,0.009603524416045728,10.0,-0.01712638615158757,0.003539119091114342
2025-04-18,0.003539119,0.001425771,0.007662774,0.0,-2.989999771,0,0,0,,2.7,1.0,0.0,0.0,-89.22450189782239,1129.0599999999977,0.0,0.07000000000000028,0.007593683543309915,-0.0064687370210361195,0.003311795407923368,-0.011497453162819582,-0.001231312654959793,11.0,-0.013641716687779915,0.009060687071324909
2025-04-21,0.009060687,0.001425771,0.007662774,-0.0047403146723220555,-2.989999771,1,0,0,,2.7,1.0,0.0,0.0,25.73816944449686,1511.8800000000047,0.0,0.07000000000000028,0.0035453891677521554,0.007593683543309915,-0.0064687370210361195,0.01337976008183639,-0.03268049288982067,12.0,-0.004664022322197647,0.00039668308603486825
2025-04-22,0.000396683,-0.024090529,-0.000238517,0.019410504420115816,4.170000076,0,0,0,,2.7,1.0,0.0,0.0,94.70709024140751,1055.5100000000093,0.009999999999999787,0.0600000000000005,0.009101859352196984,0.0035453891677521554,0.007593683543309915,0.003311795407923368,0.005421136235135959,13.0,-0.004269111052798813,-0.010220048939699043
